L,sig,w,alpha_q0,err0,alpha_q04,err04,alpha_q05,err05,alpha_q06,err06,alpha_q08,err08,alpha_q15,err15
500,0.01,0.01,1.0005383106310843,1.699833035660712e-5,1.0001086732420565,1.7521723265350582e-5,1.0000020192681554,2.3469255048894925e-5,0.9998953968972658,2.6036672828758406e-5,0.999674430444136,2.450743344831744e-5,0.9989188172474077,4.632641784444789e-5
500,0.01,0.1,2.238048957370127,0.016264970606422263,1.1863285538366017,0.023938840401134847,0.8388660494821337,0.022269256870688064,0.5627667887518696,0.01503968813123114,0.23912801450222276,0.01126560238981676,0.04600423590013756,0.004488124849188229
500,0.01,0.15,2.327897438683647,0.015952520918236564,1.1676389572427275,0.023145161893630674,0.8023819626244646,0.0173048106192287,0.5215202477819884,0.014723557428322334,0.21592873785080574,0.00878504202465508,0.04068748193785801,0.004679707878308993
500,0.01,0.2,2.345445378694314,0.015745166304727148,1.1589192583717962,0.021495700966534234,0.7980902601097246,0.015714797687042394,0.5179534041781418,0.014297051145581037,0.2139689059997018,0.008844567747503402,0.04204201399522527,0.003903143159089383
500,0.01,0.22,2.3531194392150856,0.0171588322186673,1.1570588366678713,0.01850601058756187,0.790760515439312,0.01955825639889583,0.5098031178162947,0.01492042177565594,0.213173679404408,0.008333594002339653,0.04267705726512154,0.0042277549434083
500,0.01,0.24,2.3543572940944335,0.015283914796319414,1.1558474466905264,0.022319083126212436,0.7920329062183588,0.01799139190825203,0.5103290528604164,0.012892787403202228,0.2103060533667757,0.009439105768013661,0.041467248519893675,0.004887144422540645
500,0.01,0.26,2.3608699277248135,0.01537065083865298,1.155900644125313,0.02088788275330951,0.787716408873074,0.01908213355463872,0.5074173767954885,0.014196856532695012,0.20960533357279248,0.009132813134215196,0.04209093432005297,0.005167159369592333
500,0.01,0.28,2.3562852810364783,0.017271580879128397,1.1546987469020158,0.02315108074167149,0.7916682198645266,0.01915152549747758,0.512491457766551,0.013517800393232348,0.21556609528446566,0.008870022341933664,0.0430564576604867,0.005104220551587338
500,0.01,0.3,2.349811011965986,0.017645337687933162,1.1574079776758444,0.023333570675851237,0.7946424710806883,0.01875859788553377,0.5180673367655074,0.015037523552963662,0.2156333591203057,0.007539992402645275,0.0438898491673704,0.005548450597549554
500,0.01,0.32,2.3548832272147266,0.01199759264482127,1.153410577155788,0.02063552400246136,0.7926955696784023,0.01700332419590268,0.5138125948627021,0.012996146150490228,0.21278605843068785,0.008127544945266138,0.04298157819982924,0.005097519357061602
